,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,gamma_l,gamma_h,c,d0,arquivo
0,1.0,0.05,0.45,0.27,0.06,0.07,0.08,0.1,0.09,0.08,0.08,0.07,0.06,0.07,0.08,0.08,0.08,0.07,0.06,0.06,0.07,0.07,0.07,0.06,0.06,0.05,0.06,0.06,0.07,0.06,0.06,0.06,0.07,0.08,0.09,0.09,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.11,0.14,0.14,0.15,0.15,0.16,0.17,0.18,0.18,0.16,0.16,0.16,0.16,0.18,0.19,0.2,0.2,0.2,0.21,0.22,0.22,0.23,0.25,0.29,0.29,0.29,0.29,0.28,0.29,0.3,0.3,0.3,0.3,0.33,0.35,0.37,0.37,0.39,0.39,0.42,0.41,0.44,0.43,0.46,0.44,0.47,0.5,0.48,0.5,0.53,0.51,0.49,0.5,0.5,0.49,0.49,0.49,0.49,0.47,0.49,0.47,0.48,0.47,0.49,0.47,0.48,0.48,0.47,0.47,0.45,0.48,0.46,0.46,0.48,0.48,0.47,0.49,0.49,0.49,0.51,0.53,0.55,0.57,0.56,0.56,0.6,0.6,0.62,0.62,0.65,0.67,0.68,0.67,0.7,0.69,0.71,0.7,0.75,0.75,0.77,0.8,0.84,0.84,0.88,0.82,0.78,0.66,0.55,0.5,0.41,0.34,0.31,0.28,0.3,0.3,0.27,0.23,0.21,0.16,0.13,0.11,0.09,0.07,0.05,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.8,1.8,317,rx - 121.png
1,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.43,0.62,1.0,0.65,0.18,0.07,0.08,0.07,0.08,0.07,0.08,0.07,0.08,0.08,0.1,0.1,0.09,0.08,0.1,0.09,0.1,0.09,0.1,0.1,0.11,0.12,0.14,0.13,0.13,0.13,0.14,0.13,0.14,0.15,0.16,0.17,0.16,0.16,0.16,0.14,0.13,0.14,0.14,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.14,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.17,0.17,0.19,0.17,0.18,0.2,0.21,0.21,0.22,0.22,0.22,0.27,0.25,0.29,0.29,0.3,0.31,0.32,0.32,0.31,0.35,0.33,0.34,0.34,0.35,0.36,0.37,0.37,0.4,0.4,0.43,0.44,0.45,0.45,0.44,0.44,0.45,0.45,0.47,0.43,0.45,0.45,0.47,0.47,0.45,0.44,0.46,0.45,0.46,0.47,0.5,0.46,0.48,0.48,0.5,0.51,0.49,0.49,0.5,0.46,0.48,0.47,0.48,0.5,0.5,0.48,0.49,0.5,0.51,0.5,0.49,0.45,0.46,0.43,0.43,0.43,0.43,0.42,0.42,0.43,0.44,0.43,0.41,0.4,0.42,0.45,0.43,0.46,0.46,0.49,0.48,0.52,0.52,0.55,0.54,0.57,0.58,0.58,0.55,0.59,0.55,0.58,0.6,0.61,0.65,0.65,0.66,0.72,0.73,0.75,0.79,0.81,0.84,0.87,0.93,0.9,0.93,0.99,0.98,0.94,0.93,0.91,0.9,0.82,0.8,0.73,0.62,0.55,0.48,0.43,0.39,0.37,0.33,0.3,0.28,0.23,0.21,0.16,0.12,0.09,0.07,0.05,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,2.8,2.0,379,rx - 122.png
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.22,0.31,0.4,0.47,0.4,0.3,0.21,0.18,0.23,0.21,0.16,0.11,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.09,0.09,0.11,0.12,0.1,0.09,0.1,0.09,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.13,0.12,0.13,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.16,0.16,0.15,0.16,0.18,0.16,0.17,0.17,0.18,0.2,0.19,0.21,0.24,0.25,0.27,0.27,0.26,0.25,0.28,0.27,0.26,0.28,0.29,0.32,0.33,0.39,0.42,0.46,0.42,0.42,0.43,0.44,0.45,0.48,0.53,0.58,0.62,0.66,0.71,0.72,0.81,0.81,0.88,0.9,0.85,0.86,0.84,0.83,0.86,0.84,0.88,0.91,0.89,0.9,0.9,0.88,0.92,0.88,0.87,0.89,0.9,0.98,0.97,0.97,1.0,1.0,0.94,0.9,0.88,0.83,0.86,0.82,0.81,0.82,0.87,0.88,0.9,0.98,0.95,0.99,0.96,0.91,0.95,0.93,0.9,0.91,0.84,0.85,0.81,0.8,0.75,0.72,0.65,0.6,0.49,0.43,0.42,0.39,0.4,0.36,0.35,0.32,0.3,0.26,0.23,0.17,0.11,0.1,0.08,0.07,0.07,0.08,0.06,0.07,0.06,0.06,0.05,0.06,0.06,0.07,0.06,0.07,0.05,0.04,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,2.6,1.0,509,rx - 123.png
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.42,0.24,0.25,0.32,0.31,0.3,0.23,0.19,0.27,0.29,0.21,0.1,0.1,0.1,0.09,0.08,0.08,0.09,0.1,0.09,0.08,0.09,0.1,0.11,0.12,0.14,0.14,0.16,0.17,0.18,0.19,0.21,0.2,0.21,0.24,0.22,0.26,0.26,0.25,0.25,0.26,0.26,0.29,0.28,0.29,0.28,0.28,0.29,0.3,0.31,0.32,0.33,0.31,0.29,0.31,0.28,0.3,0.29,0.28,0.27,0.27,0.28,0.3,0.32,0.33,0.35,0.37,0.38,0.43,0.44,0.45,0.46,0.47,0.5,0.52,0.51,0.51,0.54,0.58,0.56,0.53,0.51,0.48,0.45,0.49,0.5,0.52,0.51,0.53,0.55,0.55,0.53,0.52,0.54,0.56,0.56,0.56,0.55,0.58,0.53,0.56,0.54,0.53,0.53,0.56,0.56,0.52,0.52,0.49,0.47,0.45,0.45,0.44,0.45,0.42,0.43,0.41,0.42,0.42,0.43,0.42,0.4,0.46,0.46,0.47,0.5,0.52,0.53,0.53,0.55,0.59,0.61,0.62,0.63,0.65,0.68,0.73,0.74,0.75,0.75,0.78,0.73,0.71,0.75,0.77,0.83,0.87,0.97,1.0,0.95,0.8,0.54,0.35,0.24,0.21,0.17,0.15,0.14,0.14,0.1,0.06,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2.5,1.1,523,rx - 125.png
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.72,1.0,1.0,0.82,0.48,0.2,0.07,0.04,0.03,0.04,0.04,0.04,0.04,0.05,0.08,0.13,0.15,0.15,0.12,0.13,0.14,0.14,0.14,0.14,0.16,0.16,0.16,0.16,0.17,0.18,0.2,0.19,0.19,0.19,0.17,0.14,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.1,0.11,0.11,0.11,0.1,0.09,0.1,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.11,0.1,0.1,0.1,0.1,0.11,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.16,0.14,0.16,0.16,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.16,0.15,0.15,0.16,0.15,0.16,0.18,0.17,0.17,0.18,0.2,0.19,0.22,0.2,0.24,0.23,0.25,0.25,0.26,0.28,0.29,0.29,0.3,0.3,0.3,0.3,0.31,0.3,0.3,0.3,0.29,0.31,0.31,0.33,0.34,0.33,0.34,0.33,0.36,0.35,0.35,0.36,0.35,0.33,0.35,0.34,0.34,0.37,0.38,0.36,0.37,0.39,0.42,0.41,0.42,0.42,0.46,0.45,0.48,0.53,0.54,0.57,0.61,0.6,0.62,0.63,0.6,0.61,0.62,0.6,0.6,0.61,0.59,0.58,0.59,0.57,0.54,0.49,0.49,0.49,0.46,0.49,0.51,0.47,0.51,0.52,0.53,0.54,0.55,0.52,0.47,0.37,0.33,0.31,0.29,0.27,0.26,0.24,0.24,0.24,0.19,0.17,0.16,0.15,0.13,0.1,0.09,0.06,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999998,2.3,0.8,419,rx - 126.png
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.4,0.7,0.72,0.4,0.31,0.31,0.35,0.29,0.21,0.17,0.14,0.12,0.09,0.1,0.1,0.1,0.1,0.12,0.12,0.12,0.14,0.13,0.15,0.16,0.14,0.17,0.18,0.18,0.17,0.2,0.2,0.2,0.18,0.18,0.16,0.17,0.18,0.18,0.19,0.18,0.19,0.17,0.19,0.17,0.18,0.19,0.19,0.19,0.21,0.18,0.19,0.2,0.21,0.23,0.21,0.25,0.23,0.22,0.24,0.25,0.23,0.24,0.27,0.27,0.25,0.25,0.27,0.28,0.28,0.28,0.29,0.28,0.32,0.3,0.32,0.34,0.34,0.31,0.33,0.36,0.35,0.36,0.38,0.37,0.38,0.4,0.41,0.39,0.39,0.41,0.44,0.47,0.47,0.48,0.49,0.48,0.52,0.54,0.57,0.65,0.64,0.68,0.69,0.76,0.78,0.8,0.85,0.82,0.83,0.8,0.8,0.81,0.81,0.83,0.86,0.82,0.89,0.98,0.92,0.91,0.96,0.95,1.0,0.93,0.91,0.86,0.82,0.76,0.72,0.71,0.71,0.71,0.71,0.72,0.67,0.74,0.78,0.74,0.75,0.78,0.81,0.77,0.79,0.78,0.78,0.83,0.82,0.86,0.85,0.87,0.8,0.86,0.93,0.91,0.91,0.89,0.87,0.89,0.96,0.98,0.89,0.86,0.81,0.73,0.7,0.66,0.62,0.68,0.61,0.58,0.54,0.52,0.56,0.49,0.56,0.56,0.6,0.56,0.57,0.56,0.59,0.57,0.62,0.62,0.61,0.67,0.67,0.68,0.64,0.63,0.61,0.58,0.54,0.45,0.36,0.34,0.34,0.34,0.33,0.34,0.33,0.37,0.38,0.3,0.27,0.28,0.27,0.29,0.3,0.27,0.26,0.23,0.21,0.22,0.18,0.17,0.13,0.12,0.1,0.09,0.09,0.09,0.09,0.06,0.03,0.02,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,2.8,1.8,746,rx - 127.png
6,0.15,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.02,0.03,0.03,0.04,0.03,0.04,0.04,0.05,0.04,0.05,0.06,0.1,0.1,0.09,0.09,0.1,0.11,0.11,0.13,0.13,0.13,0.14,0.14,0.16,0.14,0.15,0.16,0.14,0.15,0.14,0.14,0.18,0.17,0.18,0.18,0.19,0.2,0.22,0.24,0.27,0.31,0.31,0.32,0.3,0.34,0.34,0.32,0.35,0.35,0.38,0.36,0.37,0.38,0.4,0.42,0.44,0.49,0.52,0.49,0.56,0.59,0.56,0.57,0.62,0.62,0.66,0.67,0.69,0.75,0.75,0.74,0.77,0.78,0.75,0.77,0.75,0.75,0.75,0.73,0.77,0.77,0.77,0.77,0.79,0.82,0.85,0.92,0.88,0.88,0.89,0.88,0.91,0.94,1.0,1.0,0.95,1.0,0.92,0.96,0.96,0.93,0.95,0.91,0.89,0.85,0.85,0.83,0.82,0.77,0.71,0.7,0.73,0.7,0.7,0.71,0.68,0.69,0.68,0.74,0.7,0.76,0.74,0.77,0.73,0.69,0.7,0.61,0.63,0.59,0.59,0.58,0.59,0.58,0.55,0.63,0.63,0.66,0.67,0.62,0.59,0.57,0.54,0.5,0.51,0.47,0.43,0.43,0.42,0.43,0.42,0.43,0.43,0.4,0.37,0.34,0.33,0.33,0.33,0.32,0.31,0.29,0.27,0.27,0.28,0.28,0.27,0.28,0.26,0.24,0.23,0.2,0.16,0.12,0.09,0.05,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,2.0,1.0,342,rx - 128.png
7,0.09,0.06,0.02,0.03,0.02,0.03,0.03,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.05,0.06,0.06,0.06,0.07,0.07,0.08,0.09,0.11,0.12,0.14,0.16,0.17,0.19,0.18,0.2,0.2,0.23,0.23,0.22,0.21,0.23,0.25,0.26,0.24,0.26,0.27,0.29,0.28,0.3,0.32,0.33,0.34,0.35,0.37,0.38,0.38,0.39,0.4,0.42,0.37,0.38,0.38,0.39,0.37,0.39,0.42,0.43,0.47,0.49,0.5,0.54,0.55,0.56,0.53,0.57,0.57,0.57,0.56,0.58,0.58,0.58,0.59,0.57,0.62,0.62,0.61,0.64,0.65,0.63,0.62,0.59,0.63,0.63,0.65,0.64,0.66,0.67,0.68,0.68,0.69,0.66,0.68,0.66,0.68,0.66,0.72,0.67,0.69,0.68,0.69,0.7,0.7,0.7,0.74,0.76,0.74,0.75,0.76,0.76,0.76,0.74,0.76,0.74,0.74,0.72,0.73,0.75,0.73,0.76,0.77,0.76,0.81,0.83,0.82,0.82,0.84,0.84,0.79,0.76,0.77,0.77,0.8,0.8,0.8,0.79,0.83,0.86,0.85,0.91,0.91,0.96,0.99,0.97,1.0,0.92,0.89,0.8,0.76,0.65,0.57,0.52,0.47,0.47,0.43,0.41,0.38,0.38,0.37,0.32,0.28,0.26,0.22,0.2,0.17,0.15,0.12,0.1,0.09,0.07,0.05,0.05,0.05,0.03,0.03,0.01,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,2.5,1.0,321,rx - 129.png
8,0.0,0.38,1.0,0.18,0.11,0.15,0.12,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.08,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.08,0.07,0.07,0.06,0.07,0.07,0.07,0.08,0.07,0.08,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.12,0.11,0.11,0.12,0.12,0.13,0.13,0.13,0.14,0.14,0.15,0.14,0.15,0.15,0.16,0.17,0.17,0.18,0.18,0.2,0.23,0.23,0.23,0.25,0.28,0.28,0.3,0.3,0.29,0.3,0.31,0.33,0.35,0.37,0.37,0.39,0.4,0.41,0.41,0.41,0.43,0.43,0.45,0.45,0.46,0.48,0.48,0.5,0.49,0.52,0.51,0.53,0.54,0.53,0.54,0.54,0.52,0.5,0.51,0.48,0.49,0.48,0.48,0.46,0.45,0.44,0.44,0.44,0.42,0.42,0.41,0.41,0.4,0.4,0.4,0.38,0.37,0.38,0.37,0.38,0.39,0.39,0.38,0.36,0.37,0.36,0.35,0.33,0.32,0.32,0.32,0.29,0.31,0.28,0.3,0.28,0.26,0.24,0.21,0.19,0.17,0.15,0.15,0.12,0.12,0.1,0.09,0.08,0.06,0.06,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,2.5,1.5,368,rx - 131.png
9,0.0,0.0,0.0,0.01,0.18,0.05,0.03,0.05,0.2,0.32,0.28,0.29,0.3,0.25,0.22,0.14,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.11,0.11,0.1,0.14,0.14,0.16,0.16,0.17,0.19,0.17,0.19,0.19,0.2,0.2,0.22,0.22,0.22,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.3,0.3,0.29,0.3,0.3,0.25,0.27,0.26,0.27,0.25,0.27,0.25,0.28,0.29,0.3,0.33,0.34,0.36,0.37,0.36,0.32,0.36,0.34,0.34,0.29,0.32,0.3,0.33,0.33,0.37,0.36,0.42,0.43,0.44,0.47,0.47,0.5,0.52,0.54,0.56,0.6,0.58,0.55,0.57,0.59,0.58,0.62,0.59,0.6,0.59,0.6,0.6,0.58,0.58,0.61,0.55,0.56,0.55,0.53,0.55,0.5,0.51,0.51,0.51,0.5,0.54,0.52,0.53,0.55,0.53,0.52,0.54,0.56,0.57,0.57,0.63,0.59,0.62,0.6,0.64,0.64,0.6,0.65,0.6,0.66,0.64,0.63,0.65,0.62,0.69,0.74,0.76,0.77,0.76,0.78,0.8,0.75,0.77,0.76,0.79,0.85,0.84,0.91,0.92,0.92,0.97,0.96,1.0,0.97,0.99,0.93,0.92,0.86,0.84,0.86,0.85,0.83,0.88,0.83,0.86,0.85,0.8,0.8,0.82,0.81,0.8,0.82,0.83,0.81,0.81,0.8,0.78,0.68,0.67,0.59,0.56,0.51,0.48,0.44,0.41,0.38,0.34,0.33,0.32,0.3,0.26,0.22,0.22,0.19,0.18,0.17,0.14,0.13,0.11,0.09,0.09,0.07,0.07,0.05,0.04,0.03,0.03,0.03,0.04,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,2.1,1.8,271,rx - 132.png
